Year,State Abbrv,Total Fatalities,Total Injured
1966,TX,17,32
1966,AZ,5,1
1971,WA,2,4
1972,LA,10,13
1974,IL,1,3
1974,NY,3,7
1976,CA,1,7
1976,CA,7,2
1979,CA,2,9
1979,SC,2,5
1982,NV,1,2
1982,FL,9,3
1983,WA,13,1
1983,SC,1,3
1984,CA,3,12
1984,TX,6,1
1984,CA,22,19
1985,KS,1,3
1985,GA,2,1
1986,NY,1,4
1986,OK,15,6
1986,MT,1,3
1987,FL,6,14
1988,FL,1,2
1988,CA,7,4
1988,IL,2,7
1988,IL,5,2
1988,SC,2,9
1988,LA,0,4
1989,CA,6,30
1989,CA,4,1
1989,KY,9,12
1990,FL,12,6
1990,FL,10,4
1991,AZ,9,0
1991,NJ,3,0
1991,TX,24,20
1991,IA,6,1
1991,MI,5,5
1992,CA,4,10
1992,TX,0,6
1992,NY,5,0
1992,MA,2,4
1993,CA,1,5
1993,MI,2,2
1993,CA,9,6
1993,UT,1,3
1993,NC,4,8
1993,WY,1,4
1993,NY,6,19
1993,CO,4,1
1993,MI,1,2
1994,KY,4,0
1994,WA,5,23
1994,OH,1,3
1994,MA,2,5
1995,NC,2,2
1995,NJ,4,1
1995,TX,6,0
1995,TN,2,1
1996,WA,3,1
1996,FL,7,0
1996,CA,3,0
1997,AK,2,2
1997,SC,4,3
1997,MS,2,7
1997,KY,3,5
1997,CA,5,2
1997,WI,2,2
1998,CT,5,0
1998,AR,5,10
1998,PA,1,3
1998,OR,4,25
1998,CA,0,6
1999,CO,15,24
1999,GA,0,6
1999,GA,10,12
1999,TX,8,7
1999,HI,7,0
1999,OK,0,4
1999,FL,5,3
2000,MA,7,0
2000,MA,7,0
2001,IL,6,4
2001,CA,2,13
2002,VA,3,3
2002,AZ,4,0
2003,OH,1,2
2003,MS,7,8
2003,IL,7,0
2004,WI,6,2
2004,OH,5,7
2005,TX,3,4
2005,WI,8,4
2005,MN,10,5
2006,CA,8,0
2006,WA,7,2
2006,VT,2,2
2006,NC,1,2
2006,PA,0,5
2006,PA,6,5
2006,PA,6,5
2007,UT,6,4
2007,OR,0,10
2007,VA,33,17
2007,WI,7,1
2007,OH,1,4
2007,MI,0,4
2007,NE,9,4
2007,CO,5,5
2007,NV,0,6
2007,WA,6,0
2008,MO,6,2
2008,IL,6,17
2008,KY,7,1
2008,AZ,0,3
2008,AR,0,1
2008,CA,10,2
2009,AL,11,6
2009,NC,8,2
2009,CA,6,1
2009,NY,14,4
2009,TX,13,32
2009,WA,5,0
2009,WA,4,1
2010,AL,0,3
2010,CT,9,2
2011,AZ,6,13
2011,OH,1,11
2011,AL,1,3
2011,MI,8,2
2011,NV,5,7
2011,CA,8,1
2011,CA,8,1
2012,AL,5,0
2012,GA,5,0
2012,OH,3,3
2012,CA,7,3
2012,OK,3,2
2012,WA,6,1
2012,WA,6,1
2012,AL,3,3
2012,CO,12,70
2012,CO,12,58
2012,WI,7,4
2012,MN,7,2
2012,FL,0,15
2012,WI,4,4
2012,OR,3,1
2012,CT,28,2
2013,CA,1,3
2013,OH,1,4
2013,PA,0,4
2013,CA,2,3
2013,CO,4,0
2013,VA,3,1
2013,NC,2,2
2013,OK,4,0
2013,LA,3,2
2013,NM,5,0
2013,CA,0,4
2013,LA,0,5
2013,MD,1,6
2013,TN,1,3
2013,MO,1,3
2013,MO,1,3
2013,LA,2,3
2013,OH,1,3
2013,DC,0,5
2013,LA,1,3
2013,AZ,3,1
2013,CA,1,3
2013,TN,0,5
2013,CA,4,2
2013,TN,2,2
2013,CA,1,3
2013,CA,1,3
2013,CO,3,1
2013,IL,0,4
2013,LA,0,4
2013,CA,1,4
2013,DE,3,2
2013,UT,3,1
2013,NC,1,3
2013,CA,4,3
2013,CA,4,3
2013,CA,4,3
2013,FL,2,2
2013,OK,1,3
2013,MI,0,4
2013,CA,0,4
2013,GA,0,8
2013,LA,1,3
2013,TX,0,6
2013,GA,2,2
2013,MI,0,4
2013,MI,0,4
2013,CA,1,3
2013,NC,0,4
2013,IN,1,3
2013,MS,2,2
2013,NY,1,3
2013,MO,0,5
2013,IA,1,3
2013,DC,0,13
2013,NY,5,2
2013,NY,5,2
2013,NY,5,2
2013,CA,2,2
2013,TX,4,0
2013,CA,0,4
2013,CA,0,7
2013,FL,0,5
2013,CA,2,4
2013,AL,3,1
2013,IL,0,7
2013,MO,1,4
2013,NY,1,3
2013,NY,1,3
2013,FL,0,4
2013,CA,3,2
2013,WA,3,1
2013,CA,2,3
2013,PR,4,1
2013,SC,1,4
2013,CA,1,3
2013,KS,1,3
2013,NY,1,3
2013,PA,1,3
2013,CA,0,4
2013,VA,0,5
2013,KY,1,4
2013,AZ,2,4
2013,OH,4,0
2013,MA,2,2
2013,VA,2,2
2013,WA,5,0
2013,IL,0,4
2013,IL,0,4
2013,WA,5,2
2013,LA,0,5
2013,LA,0,5
2013,IL,7,1
2013,OH,0,4
2013,FL,1,4
2013,NC,0,5
2013,PA,1,3
2013,TN,2,2
2013,FL,0,4
2013,KS,4,0
2013,NJ,0,5
2013,PR,4,6
2013,NC,0,4
2013,CA,0,6
2013,CA,1,3
2013,CA,0,5
2013,PA,0,4
2013,NC,4,0
2013,CA,3,1
2013,PA,0,4
2013,NJ,0,4
2013,PA,0,4
2013,IN,4,0
2013,AZ,0,4
2013,LA,0,19
2013,NJ,0,5
2013,OH,0,4
2013,OH,0,4
2013,MI,1,4
2013,NV,5,0
2013,PA,0,4
2013,PA,0,4
2013,PR,3,3
2013,VA,0,4
2013,MI,0,4
2013,VA,0,4
2013,TN,2,2
2013,IL,0,4
2013,VA,4,0
2013,TN,2,2
2013,TN,2,2
2013,MI,1,3
2013,CA,2,2
2013,MI,1,3
2013,VA,1,4
2013,TX,2,5
2013,TN,1,3
2013,AZ,5,0
2013,IL,0,4
2013,GA,0,4
2013,WI,0,4
2013,CA,2,2
2013,IN,0,4
2013,GA,0,7
2013,VA,0,5
2013,VA,0,4
2013,NV,2,2
2013,MN,2,2
2013,IL,0,10
2013,CA,6,3
2013,PA,0,4
2013,PA,0,4
2013,IL,1,4
2013,MO,0,6
2013,MO,0,6
2013,IL,4,0
2013,MO,4,0
2013,NC,0,5
2013,TX,1,3
2013,TN,0,4
2013,RI,1,3
2013,IL,1,3
2013,MO,1,3
2013,KY,3,1
2013,IL,1,3
2013,NC,0,5
2013,VA,0,6
2013,MD,1,4
2013,NJ,1,4
2013,RI,0,4
2013,TN,1,3
2013,MO,1,8
2013,LA,0,4
2013,CA,1,3
2013,VA,1,4
2013,MO,1,3
2013,IL,1,4
2013,CA,2,2
2013,IL,0,6
2013,SC,3,1
2013,CO,0,4
2013,NY,0,8
2013,TX,4,0
2013,ME,1,3
2013,IL,0,4
2013,MI,1,6
2013,GA,1,3
2013,NY,1,3
2013,IL,1,7
2013,AL,0,4
2013,CA,1,3
2013,IL,0,5
2013,MS,0,4
2013,FL,1,3
2013,CA,1,4
2013,MD,0,4
2013,MD,0,4
2013,IL,2,2
2013,NC,2,2
2013,KY,2,2
2013,NJ,1,4
2013,CA,1,3
2013,OH,0,4
2013,OK,1,3
2013,NJ,1,4
2013,DC,0,4
2013,MI,0,5
2013,MI,0,5
2013,KS,1,4
2013,CA,3,1
2013,CT,0,4
2013,CA,0,4
2013,NY,0,5
2013,OH,0,5
2013,NY,0,5
2013,FL,2,2
2013,KS,0,4
2013,MI,0,4
2013,WV,4,0
2013,FL,7,0
2013,FL,7,0
2013,NM,1,3
2013,TX,0,4
2013,WA,0,4
2013,WA,0,4
2013,NM,0,4
2013,NM,0,4
2013,IN,0,4
2013,IN,0,4
2013,NJ,2,3
2013,KY,4,0
2013,MI,0,5
2013,MI,0,5
2013,Mo,1,3
2013,CA,3,4
2013,NJ,0,4
2013,PA,3,4
2013,PA,3,3
2013,NJ,0,4
2013,PA,3,4
2013,TX,4,4
2013,MO,2,2
2013,DE,0,4
2013,NY,0,4
2013,NY,1,3
2013,VA,1,4
2013,MO,2,2
2013,DE,0,4
2013,PA,0,4
2013,OK,4,0
2013,PA,0,4
2013,CA,0,4
2013,CA,0,4
2013,SC,1,4
2013,SC,1,4
2013,IL,1,3
2013,NJ,0,4
2013,NY,1,3
2013,MO,0,4
2013,MO,0,4
2013,OH,0,4
2013,IL,0,5
2013,MD,2,2
2013,OK,4,0
2013,NC,0,4
2013,PA,2,2
2013,MD,1,6
2013,IN,0,4
2013,SC,1,4
2013,FL,3,2
2013,SC,1,3
2013,MN,2,2
2013,CA,0,4
2013,NC,0,4
2013,IN,2,4
2013,MO,1,3
2013,MO,1,3
2013,CT,1,4
2013,NY,0,4
2013,TN,4,0
2013,DC,1,3
2013,TN,4,0
2013,DC,1,3
2013,NC,0,4
2013,CA,2,2
2013,CO,0,5
2013,GA,3,1
2013,DE,0,4
2013,WA,0,6
2013,DC,13,3
2013,DC,11,3
2013,FL,0,5
2013,MI,0,4
2013,NV,0,4
2013,CA,1,4
2013,CA,1,4
2013,FL,0,5
2013,TN,1,4
2013,TN,1,4
2013,IL,0,13
2013,CA,2,2
2013,TX,5,0
2013,FL,0,4
2013,FL,0,4
2013,MI,2,4
2013,MI,3,1
2013,MO,1,3
2013,MO,1,3
2013,KS,1,6
2013,KS,1,6
2013,WV,0,6
2013,NC,0,4
2013,FL,0,4
2013,PA,4,0
2013,OH,0,4
2013,IL,0,4
2013,OH,0,4
2013,AL,4,0
2013,NE,0,4
2013,NY,0,4
2013,CA,1,13
2013,AZ,0,4
2013,NY,0,4
2013,PA,1,5
2013,TX,4,0
2013,TX,4,0
2013,OK,0,5
2013,OK,2,2
2013,PA,0,8
2013,FL,0,4
2013,FL,0,4
2013,FL,2,2
2013,PA,2,4
2013,NV,2,2
2013,PA,2,5
2013,NV,2,2
2013,FL,0,4
2013,CT,1,5
2013,AZ,5,0
2013,CA,1,3
2013,NM,1,4
2013,TX,0,4
2013,CA,0,6
2013,CA,1,6
2013,NC,1,4
2013,CA,1,7
2013,TX,5,0
2013,SC,5,0
2013,SC,6,0
2013,NC,2,2
2013,CA,1,3
2013,KY,1,3
2013,CA,1,4
2013,CA,0,5
2013,CA,0,5
2013,MI,3,7
2013,CA,1,3
2013,FL,4,0
2013,DC,0,4
2013,MI,3,7
2013,FL,4,0
2013,TX,2,19
2013,AZ,1,3
2013,NY,4,1
2013,OH,1,3
2013,AZ,1,3
2013,NY,4,1
2013,AZ,4,0
2013,TX,1,3
2013,TX,1,3
2013,TX,3,2
2013,FL,3,1
2013,PA,0,4
2013,OH,2,2
2013,KS,4,0
2013,OK,4,1
2013,MN,1,3
2013,MN,1,3
2013,CA,0,7
2013,NY,0,4
2013,CA,0,4
2013,IN,0,4
2013,MI,0,5
2013,GA,0,4
2013,FL,2,2
2013,KS,4,0
2013,IN,1,3
2013,AL,4,0
2013,TN,4,0
2013,KY,0,4
2013,DE,0,4
2013,CT,4,0
2013,FL,2,3
2013,WV,1,3
2013,NC,0,4
2013,TX,0,5
2013,FL,1,3
2013,FL,1,3
2013,NV,2,2
2013,NC,0,4
2013,NJ,1,4
2013,MI,1,3
2013,NC,0,4
2013,NJ,3,2
2013,NY,1,3
2013,LA,3,3
2013,LA,4,3
2013,LA,2,6
2013,AL,3,5
2013,FL,2,2
2013,AL,2,6
2013,NY,4,0
2013,OH,2,2
2013,NY,0,5
2013,CA,4,0
2014,VA,2,2
2014,NY,1,3
2014,NY,1,3
2014,IL,2,2
2014,Ga,0,4
2014,OH,1,3
2014,OR,0,5
2014,TX,0,6
2014,Il,0,5
2014,AL,0,5
2014,OR,0,4
2014,LA,0,6
2014,MI,0,4
2014,CA,0,4
2014,OK,1,4
2014,CA,2,2
2014,UT,5,0
2014,VA,0,4
2014,NJ,2,3
2014,FL,0,4
2014,IL,1,4
2014,NC,0,4
2014,WA,1,4
2014,MD,3,5
2014,WI,0,5
2014,IL,3,2
2014,TX,4,0
2014,IN,3,2
2014,IL,1,3
2014,FL,1,3
2014,IL,1,3
2014,OH,4,0
2014,LA,0,4
2014,FL,0,5
2014,LA,0,4
2014,IN,0,5
2014,CA,1,3
2014,Ca,1,3
2014,In,0,5
2014,NV,0,5
2014,Tx,1,6
2014,IN,0,5
2014,Tx,1,4
2014,Fl,1,4
2014,FL,1,6
2014,FL,1,6
2014,Mi,0,4
2014,Fl,0,6
2014,CA,4,2
2014,IN,1,4
2014,CA,0,4
2014,CA,0,4
2014,VA,4,1
2014,VA,5,1
2014,IL,4,0
2014,MI,0,4
2014,PA,1,4
2014,MI,0,4
2014,SC,3,1
2014,IL,0,6
2014,Ca,1,3
2014,TX,0,6
2014,IL,0,6
2014,OH,3,1
2014,WI,0,4
2014,NY,0,4
2014,TX,3,1
2014,GA,0,4
2014,GA,0,5
2014,SC,0,4
2014,SC,0,4
2014,Mo,0,4
2014,TX,1,3
2014,CA,1,3
2014,CA,0,8
2014,CA,1,3
2014,CA,0,7
2014,NC,0,5
2014,MS,0,5
2014,TX,4,16
2014,TX,4,16
2014,TX,3,12
2014,TX,4,16
2014,Mi,0,4
2014,Il,1,5
2014,Ca,0,4
2014,Az,1,3
2014,Ok,0,4
2014,Ma,0,4
2014,LA,0,4
2014,TN,3,1
2014,IL,0,5
2014,TX,1,3
2014,IN,0,4
2014,LA,1,3
2014,NJ,2,2
2014,DC,0,4
2014,TN,0,4
2014,Il,0,5
2014,MN,1,3
2014,IL,0,6
2014,IL,0,6
2014,FL,2,2
2014,FL,2,2
2014,CA,1,3
2014,TX,1,3
2014,TN,2,3
2014,GA,1,3
2014,NY,0,5
2014,GA,1,6
2014,GA,1,6
2014,Il,0,4
2014,TX,0,7
2014,AR,4,4
2014,IL,1,3
2014,CO,0,4
2014,IL,0,4
2014,TX,2,2
2014,CO,0,4
2014,CA,4,0
2014,FL,4,0
2014,GA,2,3
2014,GA,1,3
2014,TN,0,7
2014,CA,1,6
2014,GA,1,3
2014,GA,2,3
2014,TX,1,3
2014,TN,0,7
2014,CA,1,6
2014,IL,0,4
2014,GA,0,5
2014,CA,1,3
2014,DC,0,5
2014,GA,2,2
2014,OH,0,7
2014,TX,1,3
2014,Tx,1,3
2014,CA,2,2
2014,CA,4,8
2014,CA,7,7
2014,LA,1,7
2014,CA,6,13
2014,CA,1,3
2014,Mi,0,5
2014,SC,3,1
2014,TX,1,3
2014,SC,3,1
2014,OH,1,3
2014,CA,4,0
2014,NY,0,4
2014,CA,1,3
2014,Il,1,5
2014,CA,0,4
2014,IL,0,7
2014,GA,1,4
2014,WA,1,3
2014,WA,1,2
2014,MI,1,3
2014,SC,1,4
2014,MI,1,3
2014,NV,5,0
2014,AL,1,4
2014,FL,5,0
2014,IL,3,2
2014,NJ,0,6
2014,CA,3,1
2014,IN,0,4
2014,IL,0,4
2014,MD,0,4
2014,TN,0,5
2014,DC,0,4
2014,CA,1,3
2014,FL,2,7
2014,MA,0,5
2014,MI,2,2
2014,WI,0,5
2014,MI,2,2
2014,CA,1,3
2014,CA,1,3
2014,CA,0,7
2014,NY,0,4
2014,CA,1,4
2014,LA,1,9
2014,MO,0,4
2014,CA,1,3
2014,KY,1,3
2014,PA,0,5
2014,PA,0,5
2014,VA,0,5
2014,IN,0,7
2014,IL,0,5
2014,IL,0,5
2014,TX,0,4
2014,IN,0,7
2014,MI,0,4
2014,VA,0,7
2014,OR,1,4
2014,LA,2,2
2014,NY,0,4
2014,FL,2,2
2014,MO,0,4
2014,MO,0,4
2014,FL,2,2
2014,CA,1,4
2014,KY,0,4
2014,RI,0,5
2014,CA,1,4
2014,TX,6,1
2014,TX,6,1
2014,IL,1,3
2014,CA,3,2
2014,CA,1,4
2014,WA,0,5
2014,CT,0,5
2014,DC,0,4
2014,CA,1,4
2014,IL,1,4
2014,NJ,0,6
2014,NV,1,3
2014,MO,1,3
2014,MO,1,3
2014,IL,1,3
2014,NJ,0,6
2014,TN,0,4
2014,CA,3,1
2014,PA,0,4
2014,PA,0,4
2014,IL,1,6
2014,AR,1,3
2014,ME,5,0
2014,GA,0,7
2014,MI,0,4
2014,ME,5,0
2014,MO,0,5
2014,NY,1,3
2014,PA,1,4
2014,NC,3,3
2014,NC,3,2
2014,NC,3,3
2014,PA,1,3
2014,WI,1,3
2014,TX,3,1
2014,MA,0,7
2014,PA,1,5
2014,NJ,0,4
2014,TN,0,5
2014,TN,0,4
2014,VA,5,0
2014,TX,0,6
2014,MO,0,5
2014,TX,0,7
2014,MO,0,5
2014,GA,0,5
2014,NC,3,1
2014,CA,3,1
2014,IL,0,4
2014,PA,0,4
2014,KS,1,3
2014,NM,2,3
2014,LA,0,4
2014,WI,0,4
2014,DC,0,4
2014,OH,0,4
2014,MN,1,8
2014,PA,0,4
2014,CA,0,7
2014,LA,2,5
2014,DC,0,6
2014,GA,0,6
2014,GA,2,3
2014,NY,1,3
2014,GA,3,4
2014,TN,0,4
2014,TN,1,5
2014,LA,0,4
2014,TN,1,3
2014,IL,1,3
2014,TN,2,2
2014,MD,2,2
2014,NJ,1,3
2014,UT,0,6
2014,MA,0,4
2014,CA,1,3
2014,NV,0,4
2014,CA,1,4
2014,NY,0,4
2014,LA,0,4
2014,TN,0,5
2014,TN,0,5
2014,GA,1,3
2014,IL,1,3
2014,CA,3,4
2014,IL,0,4
2014,CA,2,4
2014,OK,4,0
2014,Mi,1,3
2014,FL,3,1
2014,FL,3,1
2014,IL,4,0
2014,AL,2,2
2014,CA,0,5
2014,NY,1,3
2014,NC,2,2
2014,NC,4,1
2014,CA,0,5
2014,MS,2,3
2014,KS,3,2
2014,CA,0,4
2014,MI,0,5
2014,GA,0,5
2014,FL,0,4
2014,FL,0,5
2014,Mi,1,5
2014,LA,0,7
2014,AK,0,6
2014,TX,3,1
2014,TX,3,1
2014,VA,1,3
2014,OH,0,4
2014,LA,0,5
2014,FL,8,0
2014,NY,0,4
2014,MS,2,2
2014,OH,0,4
2014,PA,2,2
2014,SC,1,4
2014,MO,0,5
2014,IN,0,4
2014,FL,0,15
2014,PA,0,4
2014,SC,1,6
2014,CA,0,4
2014,SC,1,7
2014,Mi,0,5
2014,SC,0,5
2014,IL,1,3
2014,TN,2,2
2014,CA,0,4
2014,MI,1,5
2014,FL,3,2
2014,Mi,1,5
2014,MS,2,2
2014,GA,0,4
2014,NY,4,0
2014,VA,4,0
2014,GA,0,4
2014,OK,1,3
2014,NY,0,5
2014,CA,3,1
2014,NY,0,5
2014,GA,1,3
2014,CA,3,1
2014,GA,0,4
2014,GA,3,2
2014,Mi,1,3
2014,FL,3,1
2014,SC,1,3
2014,NY,0,4
2014,SC,1,3
2014,NY,0,4
2014,Mi,0,4
2014,WA,5,1
2014,CA,2,3
2014,KY,4,0
2014,TN,0,5
2014,NC,0,5
2014,CA,0,4
2014,CA,0,4
2014,CA,0,4
2014,NC,1,4
